[Oct/27/2020 | 11:54:09pm]  8, Undefined variable: hello in /var/www/html/php/login.php at line 35. 
[Oct/27/2020 | 11:54:09pm]  8, Undefined variable: hello in /var/www/html/php/login.php at line 35. 
[Oct/27/2020 | 11:58:20pm]  8, Undefined variable: hello in /var/www/html/php/login.php at line 35. 
[Oct/27/2020 | 11:58:20pm]  8, Undefined variable: hello in /var/www/html/php/login.php at line 35. 
[Oct/27/2020 | 11:59:57pm]  8, Undefined variable: hello in /var/www/html/php/login.php at line 35. 
[Oct/27/2020 | 11:59:57pm]  8, Undefined variable: hello in /var/www/html/php/login.php at line 35. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 10. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 11. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 11. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 12. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 10. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 11. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 11. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 12. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 10. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 11. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 12. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 12. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 10. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 10. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 11. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 11. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 12. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 12. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 10. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 10. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 11. 
[Oct/28/2020 | 12:00:08am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 12. 
[Oct/28/2020 | 12:00:09am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 10. 
[Oct/28/2020 | 12:00:09am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 10. 
[Oct/28/2020 | 12:00:09am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 11. 
[Oct/28/2020 | 12:00:09am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 12. 
[Oct/28/2020 | 12:00:09am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 12. 
[Oct/28/2020 | 12:00:09am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 10. 
[Oct/28/2020 | 12:00:09am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 10. 
[Oct/28/2020 | 12:00:09am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 11. 
[Oct/28/2020 | 12:00:09am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 12. 
[Oct/28/2020 | 12:00:09am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 12. 
[Oct/28/2020 | 12:00:09am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 10. 
[Oct/28/2020 | 12:00:09am]  2 in /home/tashid/git/rabbitmqphp_example/logListener.php at line 11. 
